Subject,Is_Calming_Music,Trial_Number,Difficulty,Difficulty,Response_Time,Correct_Response,Actual_Response,Answered_Correctly
3,1,17,1,1,828,1,1,1
3,1,17,1,1,329,1,1,1
3,1,17,1,1,208,0,0,1
3,1,17,1,1,85,0,0,1
3,1,17,1,1,55,1,1,1
3,1,17,1,1,611,1,1,1
3,1,17,1,1,195,0,0,1
3,1,17,1,1,361,1,1,1
3,1,17,1,1,266,1,1,1
3,1,17,1,1,564,1,1,1
3,1,17,1,1,315,1,1,1
3,1,17,1,1,367,1,1,1
3,1,17,1,1,110,1,1,1
3,1,17,1,1,141,1,1,1
3,1,17,1,1,285,1,1,1
3,1,17,1,1,23,1,1,1
3,1,17,1,1,239,0,1,0
3,1,17,1,1,26,1,1,1
4,1,1,1,1,838,1,1,1
4,1,1,1,1,374,1,1,1
4,1,1,1,1,405,0,0,1
4,1,1,1,1,39,0,0,1
4,1,1,1,1,190,1,1,1
4,1,1,1,1,272,0,0,1
4,1,1,1,1,486,0,1,0
4,1,1,1,1,165,1,0,0
4,1,1,1,1,310,1,1,1
4,1,1,1,1,443,1,1,1
4,1,1,1,1,184,1,1,1
4,1,1,1,1,95,1,1,1
4,1,1,1,1,86,1,1,1
4,1,1,1,1,92,0,0,1
4,1,1,1,1,42,1,1,1
4,1,1,1,1,94,1,1,1
4,1,1,1,1,378,1,1,1
4,1,1,1,1,162,1,1,1
4,1,1,1,1,444,1,1,1
4,1,1,1,1,310,1,1,1
4,1,1,1,1,442,1,1,1
4,1,2,3,3,225,1,1,1
4,1,2,3,3,377,1,1,1
4,1,2,3,3,1182,1,1,1
4,1,2,3,3,1073,0,1,0
4,1,2,3,3,414,1,0,0
4,1,2,3,3,913,0,1,0
4,1,2,3,3,677,0,0,1
4,1,2,3,3,691,0,1,0
4,1,2,3,3,565,1,1,1
4,1,2,3,3,762,1,1,1
4,1,2,3,3,499,1,1,1
4,1,2,3,3,271,1,1,1
4,1,2,3,3,969,0,0,1
4,1,2,3,3,410,1,1,1
4,1,2,3,3,957,1,0,0
4,1,2,3,3,266,1,1,1
4,1,2,3,3,867,1,1,1
4,1,2,3,3,523,1,0,0
4,1,2,3,3,1167,1,0,0
4,1,3,3,3,219,1,1,1
4,1,3,3,3,14,1,0,0
4,1,3,3,3,827,0,0,1
4,1,3,3,3,295,1,1,1
4,1,3,3,3,272,1,0,0
4,1,3,3,3,291,1,1,1
4,1,3,3,3,970,1,0,0
4,1,3,3,3,290,1,1,1
4,1,3,3,3,350,1,1,1
4,1,3,3,3,281,1,0,0
4,1,3,3,3,446,0,0,1
4,1,3,3,3,177,1,1,1
4,1,3,3,3,536,0,0,1
4,1,3,3,3,158,1,1,1
4,1,3,3,3,353,0,0,1
4,1,3,3,3,254,1,1,1
4,1,3,3,3,176,1,1,1
4,1,3,3,3,1078,1,1,1
4,1,4,1,1,1484,1,1,1
4,1,4,1,1,342,1,1,1
4,1,4,1,1,592,1,1,1
4,1,4,1,1,305,1,1,1
4,1,4,1,1,963,1,1,1
4,1,4,1,1,389,1,1,1
4,1,4,1,1,293,1,1,1
4,1,4,1,1,426,0,1,0
4,1,4,1,1,281,1,1,1
4,1,4,1,1,58,0,0,1
4,1,4,1,1,234,1,1,1
4,1,4,1,1,372,0,0,1
4,1,4,1,1,89,1,1,1
4,1,4,1,1,434,1,1,1
4,1,4,1,1,471,1,1,1
4,1,4,1,1,101,1,1,1
4,1,4,1,1,95,0,0,1
4,1,4,1,1,98,1,1,1
4,1,4,1,1,273,0,0,1
4,1,4,1,1,124,1,1,1
4,1,4,1,1,431,1,1,1
4,1,5,3,3,754,1,0,0
4,1,5,3,3,871,1,1,1
4,1,5,3,3,379,1,1,1
4,1,5,3,3,919,0,0,1
4,1,5,3,3,193,1,0,0
4,1,5,3,3,748,1,1,1
4,1,5,3,3,1110,1,0,0
4,1,5,3,3,486,1,0,0
4,1,5,3,3,795,0,0,1
4,1,5,3,3,710,1,1,1
4,1,5,3,3,262,1,0,0
4,1,5,3,3,345,0,1,0
4,1,5,3,3,426,1,1,1
4,1,5,3,3,270,0,0,1
4,1,5,3,3,480,0,0,1
4,1,5,3,3,359,1,0,0
4,1,5,3,3,204,1,1,1
4,1,5,3,3,824,1,0,0
4,1,6,1,1,624,1,0,0
4,1,6,1,1,388,1,0,0
4,1,6,1,1,29,1,1,1
4,1,6,1,1,633,0,0,1
4,1,6,1,1,206,0,0,1
4,1,6,1,1,304,1,1,1
4,1,6,1,1,482,1,1,1
4,1,6,1,1,378,1,1,1
4,1,6,1,1,476,0,0,1
4,1,6,1,1,232,1,1,1
4,1,6,1,1,241,1,1,1
4,1,6,1,1,453,1,1,1
4,1,6,1,1,81,0,0,1
4,1,6,1,1,361,1,1,1
4,1,6,1,1,168,1,1,1
4,1,6,1,1,470,0,1,0
4,1,7,1,1,753,1,1,1
4,1,7,1,1,17,1,1,1
4,1,7,1,1,465,0,0,1
4,1,7,1,1,156,1,1,1
4,1,7,1,1,200,1,1,1
4,1,7,1,1,372,1,1,1
4,1,7,1,1,465,1,1,1
4,1,7,1,1,448,1,1,1
4,1,7,1,1,402,1,1,1
4,1,7,1,1,161,0,0,1
4,1,7,1,1,185,1,1,1
4,1,7,1,1,33,1,1,1
4,1,7,1,1,17,0,0,1
4,1,7,1,1,31,0,0,1
4,1,7,1,1,465,1,1,1
4,1,7,1,1,452,0,0,1
4,1,7,1,1,251,1,1,1
4,1,7,1,1,154,1,1,1
4,1,7,1,1,240,1,1,1
4,1,7,1,1,447,1,1,1
4,1,7,1,1,428,1,1,1
4,1,8,3,3,303,0,0,1
4,1,8,3,3,213,0,0,1
4,1,8,3,3,151,1,1,1
4,1,8,3,3,431,1,1,1
4,1,8,3,3,211,1,1,1
4,1,8,3,3,472,1,0,0
4,1,8,3,3,955,0,0,1
4,1,8,3,3,202,1,1,1
4,1,8,3,3,432,1,1,1
4,1,8,3,3,317,0,0,1
4,1,8,3,3,602,1,0,0
4,1,8,3,3,295,1,1,1
4,1,8,3,3,376,1,0,0
4,1,8,3,3,381,0,0,1
4,1,8,3,3,353,1,1,1
4,1,8,3,3,236,1,0,0
4,1,8,3,3,345,1,1,1
4,1,8,3,3,685,1,1,1
4,1,8,3,3,364,1,1,1
4,1,10,3,3,2,1,1,1
4,1,10,3,3,109,1,1,1
4,1,10,3,3,118,1,1,1
4,1,10,3,3,165,1,1,1
4,1,10,3,3,674,1,1,1
4,1,10,3,3,1200,1,0,0
4,1,10,3,3,458,1,1,1
4,1,10,3,3,389,1,1,1
4,1,10,3,3,1190,1,0,0
4,1,10,3,3,1232,0,0,1
4,1,10,3,3,984,0,1,0
4,1,10,3,3,342,0,0,1
4,1,10,3,3,255,1,1,1
4,1,10,3,3,702,0,0,1
4,1,10,3,3,608,1,0,0
4,1,10,3,3,372,1,1,1
4,1,10,3,3,452,1,1,1
4,1,10,3,3,557,0,0,1
4,1,11,1,1,29,0,0,1
4,1,11,1,1,34,1,1,1
4,1,11,1,1,431,1,1,1
4,1,11,1,1,471,0,0,1
4,1,11,1,1,367,1,1,1
4,1,11,1,1,112,1,0,0
4,1,11,1,1,408,0,0,1
4,1,11,1,1,417,1,1,1
4,1,11,1,1,438,0,0,1
4,1,11,1,1,6,0,0,1
4,1,11,1,1,242,1,1,1
4,1,11,1,1,472,1,1,1
4,1,11,1,1,453,1,1,1
4,1,11,1,1,23,1,1,1
4,1,11,1,1,110,1,1,1
4,1,11,1,1,107,1,1,1
4,1,11,1,1,134,1,1,1
4,1,11,1,1,308,1,1,1
4,1,11,1,1,425,1,1,1
4,1,11,1,1,362,0,0,1
4,1,11,1,1,304,1,1,1
4,1,12,1,1,62,1,1,1
4,1,12,1,1,459,0,0,1
4,1,12,1,1,37,1,1,1
4,1,12,1,1,443,1,1,1
4,1,12,1,1,76,0,0,1
4,1,12,1,1,4,0,0,1
4,1,12,1,1,21,1,1,1
4,1,12,1,1,57,1,1,1
4,1,12,1,1,402,0,0,1
4,1,12,1,1,191,1,1,1
4,1,12,1,1,454,1,1,1
4,1,12,1,1,404,1,1,1
4,1,12,1,1,488,1,1,1
4,1,12,1,1,372,1,1,1
4,1,12,1,1,166,1,1,1
4,1,12,1,1,368,1,1,1
4,1,12,1,1,471,1,1,1
4,1,12,1,1,146,1,1,1
4,1,12,1,1,444,0,0,1
4,1,12,1,1,171,1,1,1
4,1,13,3,3,265,1,1,1
4,1,13,3,3,342,1,1,1
4,1,13,3,3,209,1,1,1
4,1,13,3,3,428,1,0,0
4,1,13,3,3,486,0,0,1
4,1,13,3,3,578,0,0,1
4,1,13,3,3,567,1,1,1
4,1,13,3,3,988,0,0,1
4,1,13,3,3,615,1,0,0
4,1,13,3,3,224,1,1,1
4,1,13,3,3,330,1,1,1
4,1,13,3,3,294,1,0,0
4,1,13,3,3,304,1,1,1
4,1,13,3,3,797,0,0,1
4,1,13,3,3,179,1,0,0
4,1,13,3,3,549,0,1,0
4,1,13,3,3,444,1,1,1
4,1,13,3,3,291,1,1,1
4,1,13,3,3,242,1,1,1
4,1,14,3,3,457,0,0,1
4,1,14,3,3,306,0,0,1
4,1,14,3,3,311,1,1,1
4,1,14,3,3,233,1,1,1
4,1,14,3,3,249,1,1,1
4,1,14,3,3,86,1,1,1
4,1,14,3,3,984,1,0,0
4,1,14,3,3,708,1,0,0
4,1,14,3,3,354,1,1,1
4,1,14,3,3,65,1,1,1
4,1,14,3,3,500,0,1,0
4,1,14,3,3,454,1,0,0
4,1,14,3,3,579,1,1,1
4,1,14,3,3,373,1,1,1
4,1,14,3,3,279,0,0,1
4,1,14,3,3,5,1,1,1
4,1,14,3,3,169,1,1,1
4,1,14,3,3,376,1,1,1
4,1,15,1,1,414,1,1,1
4,1,15,1,1,748,1,1,1
4,1,15,1,1,190,0,0,1
4,1,15,1,1,202,0,0,1
4,1,15,1,1,494,1,1,1
4,1,15,1,1,34,1,0,0
4,1,15,1,1,461,1,1,1
4,1,15,1,1,380,0,0,1
4,1,15,1,1,447,1,1,1
4,1,15,1,1,420,1,1,1
4,1,15,1,1,168,1,1,1
4,1,15,1,1,494,1,1,1
4,1,15,1,1,318,1,1,1
4,1,15,1,1,198,0,1,0
4,1,15,1,1,307,1,1,1
4,1,15,1,1,622,1,1,1
4,1,15,1,1,463,1,1,1
4,1,15,1,1,366,1,1,1
4,1,15,1,1,225,0,0,1
4,1,16,3,3,110,1,1,1
4,1,16,3,3,26,1,0,0
4,1,16,3,3,227,1,0,0
4,1,16,3,3,369,1,1,1
4,1,16,3,3,287,1,0,0
4,1,16,3,3,697,1,1,1
4,1,16,3,3,874,0,1,0
4,1,16,3,3,1111,0,1,0
4,1,16,3,3,539,1,1,1
4,1,16,3,3,542,1,1,1
4,1,16,3,3,458,0,1,0
4,1,16,3,3,1205,1,1,1
4,1,16,3,3,562,0,1,0
4,1,16,3,3,275,1,0,0
4,1,16,3,3,279,1,1,1
4,1,16,3,3,203,1,0,0
4,1,16,3,3,408,1,0,0
4,1,16,3,3,195,0,0,1
4,1,16,3,3,370,1,1,1
4,1,17,1,1,100,1,1,1
4,1,17,1,1,36,0,0,1
4,1,17,1,1,403,1,1,1
4,1,17,1,1,226,1,1,1
4,1,17,1,1,401,0,0,1
4,1,17,1,1,478,0,0,1
4,1,17,1,1,457,1,1,1
4,1,17,1,1,428,1,1,1
4,1,17,1,1,32,0,0,1
4,1,17,1,1,23,1,1,1
4,1,17,1,1,236,1,1,1
4,1,17,1,1,404,1,1,1
4,1,17,1,1,446,1,1,1
4,1,17,1,1,475,1,1,1
4,1,17,1,1,370,1,1,1
4,1,17,1,1,432,1,1,1
4,1,17,1,1,414,1,1,1
4,1,17,1,1,384,1,1,1
4,1,17,1,1,377,0,0,1
4,1,17,1,1,459,1,1,1
6,1,1,1,1,433,1,1,1
6,1,1,1,1,395,1,1,1
6,1,1,1,1,36,0,0,1
6,1,1,1,1,453,0,0,1
6,1,1,1,1,437,1,1,1
6,1,1,1,1,24,0,1,0
6,1,1,1,1,437,0,0,1
6,1,1,1,1,109,1,1,1
6,1,1,1,1,304,1,1,1
6,1,1,1,1,444,1,1,1
6,1,1,1,1,328,1,1,1
6,1,1,1,1,437,0,0,1
6,1,1,1,1,446,1,1,1
6,1,1,1,1,453,1,1,1
6,1,1,1,1,455,1,1,1
6,1,1,1,1,357,1,1,1
6,1,1,1,1,379,1,1,1
6,1,1,1,1,360,1,1,1
6,1,1,1,1,227,1,1,1
6,1,2,3,3,267,1,1,1
6,1,2,3,3,495,1,1,1
6,1,2,3,3,284,1,1,1
6,1,2,3,3,329,0,1,0
6,1,2,3,3,14,1,1,1
6,1,2,3,3,406,0,0,1
6,1,2,3,3,254,0,1,0
6,1,2,3,3,426,1,1,1
6,1,2,3,3,193,1,1,1
6,1,2,3,3,460,1,1,1
6,1,2,3,3,288,0,0,1
6,1,2,3,3,230,1,1,1
6,1,2,3,3,488,1,1,1
6,1,2,3,3,338,1,1,1
6,1,2,3,3,319,1,1,1
6,1,2,3,3,31,1,0,0
6,1,3,3,3,415,1,1,1
6,1,3,3,3,187,1,0,0
6,1,3,3,3,52,0,1,0
6,1,3,3,3,218,1,1,1
6,1,3,3,3,15,1,1,1
6,1,3,3,3,370,1,1,1
6,1,3,3,3,462,1,1,1
6,1,3,3,3,419,1,1,1
6,1,3,3,3,160,0,0,1
6,1,3,3,3,112,1,1,1
6,1,3,3,3,112,0,1,0
6,1,3,3,3,345,1,1,1
6,1,3,3,3,44,0,0,1
6,1,3,3,3,190,0,1,0
6,1,3,3,3,431,1,1,1
6,1,3,3,3,391,1,1,1
6,1,3,3,3,328,1,1,1
6,1,4,1,1,297,1,1,1
6,1,4,1,1,268,1,1,1
6,1,4,1,1,159,1,1,1
6,1,4,1,1,193,1,1,1
6,1,4,1,1,176,1,1,1
6,1,4,1,1,168,1,1,1
6,1,4,1,1,363,1,1,1
6,1,4,1,1,272,0,1,0
6,1,4,1,1,298,1,1,1
6,1,4,1,1,430,0,0,1
6,1,4,1,1,211,1,1,1
6,1,4,1,1,368,0,0,1
6,1,4,1,1,314,1,1,1
6,1,4,1,1,444,1,1,1
6,1,4,1,1,313,1,1,1
6,1,4,1,1,302,1,1,1
6,1,4,1,1,220,0,1,0
6,1,4,1,1,346,1,1,1
6,1,4,1,1,250,0,1,0
6,1,4,1,1,309,1,1,1
6,1,4,1,1,317,1,1,1
6,1,5,3,3,323,1,1,1
6,1,5,3,3,444,1,1,1
6,1,5,3,3,336,1,1,1
6,1,5,3,3,488,0,0,1
6,1,5,3,3,426,1,1,1
6,1,5,3,3,150,1,1,1
6,1,5,3,3,11,1,1,1
6,1,5,3,3,412,1,1,1
6,1,5,3,3,447,1,1,1
6,1,5,3,3,493,0,1,0
6,1,5,3,3,375,1,1,1
6,1,5,3,3,346,1,0,0
6,1,5,3,3,348,0,1,0
6,1,5,3,3,406,1,1,1
6,1,5,3,3,67,0,1,0
6,1,5,3,3,478,0,0,1
6,1,5,3,3,451,1,1,1
6,1,5,3,3,214,1,1,1
6,1,5,3,3,211,1,1,1
6,1,6,1,1,295,1,1,1
6,1,6,1,1,352,1,1,1
6,1,6,1,1,209,1,1,1
6,1,6,1,1,223,0,1,0
6,1,6,1,1,433,0,0,1
6,1,6,1,1,227,1,1,1
6,1,6,1,1,352,1,1,1
6,1,6,1,1,233,1,1,1
6,1,6,1,1,266,1,1,1
6,1,6,1,1,321,0,0,1
6,1,6,1,1,198,1,1,1
6,1,6,1,1,257,1,1,1
6,1,6,1,1,301,1,1,1
6,1,6,1,1,356,1,1,1
6,1,6,1,1,302,1,1,1
6,1,6,1,1,210,1,1,1
6,1,6,1,1,412,0,0,1
6,1,6,1,1,225,1,1,1
6,1,6,1,1,248,1,1,1
6,1,6,1,1,158,0,1,0
6,1,6,1,1,265,1,1,1
6,1,7,1,1,293,1,1,1
6,1,7,1,1,238,1,1,1
6,1,7,1,1,340,0,0,1
6,1,7,1,1,264,1,1,1
6,1,7,1,1,244,1,1,1
6,1,7,1,1,211,1,1,1
6,1,7,1,1,83,1,1,1
6,1,7,1,1,159,1,1,1
6,1,7,1,1,459,0,0,1
6,1,7,1,1,362,1,1,1
6,1,7,1,1,382,1,1,1
6,1,7,1,1,366,0,0,1
6,1,7,1,1,375,0,0,1
6,1,7,1,1,401,1,1,1
6,1,7,1,1,299,0,1,0
6,1,7,1,1,479,1,1,1
6,1,7,1,1,330,1,1,1
6,1,7,1,1,216,1,1,1
