Subject,Is_Calming_Music,Trial_Number,Difficulty,Letter_Ascii,Response_Time,Correct_Response,Actual_Response,Answered_Correctly
8,1,6,1,77,248,0,0,1
8,1,6,1,87,363,1,1,1
8,1,6,1,73,1117,1,1,1
8,1,6,1,77,879,1,1,1
8,1,6,1,65,427,1,1,1
8,1,6,1,71,244,1,1,1
8,1,6,1,71,142,0,0,1
8,1,6,1,82,578,1,1,1
8,1,6,1,81,275,1,1,1
8,1,6,1,82,461,0,1,0
8,1,6,1,81,567,1,1,1
8,1,7,1,82,638,1,1,1
8,1,7,1,86,281,1,1,1
8,1,7,1,86,619,0,1,0
8,1,7,1,79,808,1,1,1
8,1,7,1,65,227,1,1,1
8,1,7,1,67,294,1,1,1
8,1,7,1,78,210,1,1,1
8,1,7,1,89,77,1,1,1
8,1,7,1,86,623,1,0,0
8,1,7,1,86,352,0,0,1
8,1,7,1,74,189,1,1,1
8,1,7,1,85,884,1,1,1
8,1,7,1,85,452,0,0,1
8,1,7,1,85,298,0,0,1
8,1,7,1,89,311,1,1,1
8,1,7,1,89,225,0,0,1
8,1,7,1,74,99,1,1,1
8,1,7,1,73,474,1,1,1
8,1,7,1,83,841,1,1,1
8,1,7,1,85,509,1,1,1
8,1,7,1,80,268,1,1,1
8,1,8,3,76,257,0,0,1
8,1,8,3,65,774,0,0,1
8,1,8,3,78,353,1,1,1
8,1,8,3,87,591,1,1,1
8,1,8,3,67,390,1,1,1
8,1,8,3,76,1062,1,0,0
8,1,8,3,87,1269,0,1,0
8,1,8,3,85,671,1,1,1
8,1,8,3,83,354,1,1,1
8,1,8,3,87,950,0,0,1
8,1,8,3,89,1013,1,1,1
8,1,8,3,70,711,1,1,1
8,1,8,3,76,800,1,0,0
8,1,8,3,89,1325,0,0,1
8,1,8,3,85,280,1,1,1
8,1,8,3,76,400,1,0,0
8,1,8,3,73,13,1,1,1
8,1,8,3,66,506,1,1,1
8,1,8,3,84,1019,1,1,1
8,1,10,3,74,590,1,1,1
8,1,10,3,90,374,1,1,1
8,1,10,3,81,551,1,1,1
8,1,10,3,87,453,1,1,1
8,1,10,3,75,291,1,1,1
8,1,10,3,81,80,1,0,0
8,1,10,3,83,560,1,1,1
8,1,10,3,77,439,1,1,1
8,1,10,3,81,929,1,0,0
8,1,10,3,70,676,0,1,0
8,1,10,3,81,387,0,0,1
8,1,10,3,88,789,1,1,1
8,1,10,3,70,513,0,0,1
8,1,10,3,75,568,1,1,1
8,1,10,3,88,485,1,0,0
8,1,10,3,75,1317,1,1,1
8,1,10,3,88,347,0,1,0
8,1,11,1,66,198,0,0,1
8,1,11,1,86,191,1,1,1
8,1,11,1,80,171,1,1,1
8,1,11,1,80,126,0,0,1
8,1,11,1,81,523,1,1,1
8,1,11,1,69,363,1,1,1
8,1,11,1,69,317,0,0,1
8,1,11,1,77,558,1,1,1
8,1,11,1,77,335,0,0,1
8,1,11,1,77,281,0,0,1
8,1,11,1,84,193,1,1,1
8,1,11,1,69,355,1,1,1
8,1,11,1,82,286,1,1,1
8,1,11,1,88,334,1,1,1
8,1,11,1,69,116,1,1,1
8,1,11,1,76,371,1,1,1
8,1,11,1,66,642,1,1,1
8,1,11,1,82,775,1,1,1
8,1,11,1,87,614,1,1,1
8,1,11,1,87,427,0,0,1
8,1,11,1,73,137,1,1,1
8,1,12,1,84,276,1,1,1
8,1,12,1,72,252,1,1,1
8,1,12,1,72,236,0,0,1
8,1,12,1,89,299,1,1,1
8,1,12,1,71,423,1,1,1
8,1,12,1,71,488,0,0,1
8,1,12,1,71,431,0,0,1
8,1,12,1,89,302,1,1,1
8,1,12,1,87,274,1,1,1
8,1,12,1,87,180,0,0,1
8,1,12,1,85,344,1,1,1
8,1,12,1,65,705,1,1,1
8,1,12,1,85,874,1,1,1
8,1,12,1,82,1206,1,1,1
8,1,12,1,87,734,1,1,1
8,1,12,1,80,197,1,1,1
8,1,12,1,81,171,1,1,1
8,1,12,1,67,50,1,1,1
8,1,12,1,65,757,1,1,1
8,1,12,1,65,183,0,0,1
8,1,12,1,76,1013,1,1,1
8,1,13,3,74,208,1,1,1
8,1,13,3,78,176,1,1,1
8,1,13,3,74,962,1,0,0
8,1,13,3,78,67,0,1,0
8,1,13,3,85,367,1,1,1
8,1,13,3,86,167,0,0,1
8,1,13,3,69,282,1,0,0
8,1,13,3,68,135,1,1,1
8,1,13,3,88,643,1,1,1
8,1,13,3,81,772,1,1,1
8,1,13,3,79,234,1,0,0
8,1,13,3,88,478,0,0,1
8,1,13,3,78,334,1,1,1
8,1,13,3,79,306,0,0,1
8,1,13,3,80,464,1,1,1
8,1,13,3,84,731,1,1,1
8,1,13,3,87,917,1,1,1
8,1,14,3,88,370,0,0,1
8,1,14,3,75,632,0,0,1
8,1,14,3,74,425,1,1,1
8,1,14,3,77,375,1,1,1
8,1,14,3,71,322,1,1,1
8,1,14,3,89,673,1,1,1
8,1,14,3,77,1089,1,0,0
8,1,14,3,75,443,1,0,0
8,1,14,3,69,817,1,1,1
8,1,14,3,83,310,1,1,1
8,1,14,3,75,428,0,0,1
8,1,14,3,69,588,0,0,1
8,1,14,3,70,482,1,1,1
8,1,14,3,80,1314,1,1,1
8,1,14,3,74,706,1,1,1
8,1,14,3,70,374,0,0,1
8,1,14,3,78,651,1,1,1
8,1,14,3,76,243,1,1,1
8,1,14,3,84,513,1,1,1
8,1,15,1,74,486,1,1,1
8,1,15,1,85,37,1,1,1
8,1,15,1,74,268,1,1,1
8,1,15,1,74,190,0,0,1
8,1,15,1,74,353,0,0,1
8,1,15,1,75,75,1,1,1
8,1,15,1,75,366,1,0,0
8,1,15,1,70,246,1,1,1
8,1,15,1,70,249,0,0,1
8,1,15,1,77,333,1,1,1
8,1,15,1,66,447,1,1,1
8,1,15,1,79,286,1,1,1
8,1,15,1,66,299,1,1,1
8,1,15,1,87,318,1,1,1
8,1,15,1,90,320,1,1,1
8,1,15,1,90,281,0,0,1
8,1,15,1,89,950,1,1,1
8,1,15,1,69,975,1,1,1
8,1,15,1,65,461,1,1,1
8,1,15,1,65,169,0,0,1
8,1,16,3,86,167,1,1,1
8,1,16,3,88,161,1,0,0
8,1,16,3,89,326,1,0,0
8,1,16,3,71,199,1,1,1
8,1,16,3,65,1270,1,1,1
8,1,16,3,71,216,0,1,0
8,1,16,3,76,334,1,1,1
8,1,16,3,72,97,1,1,1
8,1,16,3,79,310,0,0,1
8,1,16,3,89,398,1,1,1
8,1,16,3,72,376,0,0,1
8,1,16,3,73,274,1,1,1
8,1,16,3,78,347,1,1,1
8,1,16,3,73,725,1,0,0
8,1,16,3,68,305,1,1,1
8,1,16,3,78,336,0,1,0
8,1,16,3,87,1313,1,1,1
8,1,17,1,84,103,1,1,1
8,1,17,1,72,38,1,1,1
8,1,17,1,72,16,0,0,1
8,1,17,1,89,499,1,1,1
8,1,17,1,71,398,1,1,1
8,1,17,1,71,41,0,0,1
8,1,17,1,71,149,0,0,1
8,1,17,1,89,451,1,1,1
8,1,17,1,87,128,1,1,1
8,1,17,1,87,91,0,0,1
8,1,17,1,85,90,1,1,1
8,1,17,1,65,16,1,1,1
8,1,17,1,85,492,1,1,1
8,1,17,1,82,53,1,1,1
8,1,17,1,87,20,1,1,1
8,1,17,1,80,288,1,1,1
8,1,17,1,81,244,1,1,1
8,1,17,1,67,219,1,1,1
8,1,17,1,65,204,1,1,1
8,1,17,1,65,161,0,0,1
8,1,17,1,76,208,1,1,1
11,1,1,1,65,487,1,1,1
11,1,1,1,69,222,1,1,1
11,1,1,1,69,189,0,0,1
11,1,1,1,69,74,0,0,1
11,1,1,1,79,417,1,1,1
11,1,1,1,65,464,0,0,1
11,1,1,1,72,785,1,1,1
11,1,1,1,74,477,1,1,1
11,1,1,1,68,358,1,1,1
11,1,1,1,66,302,1,1,1
11,1,1,1,76,138,1,0,0
11,1,1,1,86,427,1,1,1
11,1,1,1,86,343,0,1,0
11,1,1,1,78,697,1,1,1
11,1,1,1,86,666,1,1,1
11,1,1,1,76,763,1,1,1
11,1,1,1,65,166,1,1,1
11,1,1,1,69,116,1,1,1
11,1,1,1,74,35,1,1,1
11,1,1,1,83,5,1,1,1
11,1,2,3,67,171,1,0,0
11,1,2,3,78,235,1,1,1
11,1,2,3,80,338,1,1,1
11,1,2,3,78,678,1,1,1
11,1,2,3,80,576,0,1,0
11,1,2,3,67,529,0,1,0
11,1,2,3,86,904,1,1,1
11,1,2,3,81,699,1,1,1
11,1,2,3,77,475,1,1,1
11,1,2,3,81,484,0,1,0
11,1,2,3,88,575,1,1,1
11,1,2,3,78,1033,1,1,1
11,1,2,3,90,543,1,1,1
11,1,2,3,70,1413,1,0,0
11,1,2,3,72,833,1,1,1
11,1,3,3,73,1288,1,1,1
11,1,3,3,88,593,1,0,0
11,1,3,3,77,4,0,0,1
11,1,3,3,78,536,1,0,0
11,1,3,3,87,361,1,1,1
11,1,3,3,86,229,1,1,1
11,1,3,3,65,382,0,1,0
11,1,3,3,89,1087,1,0,0
11,1,3,3,66,733,0,0,1
11,1,3,3,67,326,1,1,1
11,1,4,1,73,383,1,1,1
11,1,4,1,72,366,1,1,1
11,1,4,1,67,688,1,1,1
11,1,4,1,78,28,1,1,1
11,1,4,1,86,372,1,1,1
11,1,4,1,89,193,1,1,1
11,1,4,1,89,240,0,0,1
11,1,4,1,75,582,1,1,1
